zh-CN,en-US
芯驱无法正常弹出或弹出卡滞,The flow cell drive fails to pop out properly or becomes stuck during operation.
在日志中查看具体的错误并根据提示进行处理。,"Check the detailed error messages in the log, and fix the problem according to on-screen instructions."
载片回收仓异常,Errors occur in the flow cell retrieval compartment area.
芯驱出口活动板卡住无法移动,The exit cover of the flow cell drive becomes stuck and cannot move.
载片回收仓载片数量已达上限,The flow cell retrieval compartment is full of flow cells.
载片框存在异常，载片芯驱上可能有杂质或异物，或负压系统存在异常时，载片吸附会出现异常。,"The flow cell may not be attached to the flow cell stage when the flow cell frame is not in place properly, debris or foreign matters may exist on the flow cell drive, or the negative pressure is abnormal."
转移系统未复位或载片未正确放置时，载片转移会出现异常。,A flow cell transfer failure may occur when the transfer system does not return to its initial position or the flow cell is not properly placed.
转移系统未复位,The transfer system does not return to its initial position.
载片芯驱上可能有杂质或异物,Debris or foreign matters may exist on the flow cell drive.
清理回收仓内的载片。,Remove the flow cells from the retrieval compartment.
载片框存在异常,The flow cell frame is not in place properly.
负压系统存在异常,The negative pressure is abnormal.
闲时分析指的是在所有边都未进入测序阶段时，对已进行闲时分析设置的run进行写FASTQ和上传FASTQ任务。,The idle time analysis means that the device will start FASTQ writing and/or FASTQ uploading tasks for a sequencing run upon the idle time analysis setting when all operation areas of the device are not in the sequencing phase.
点击，可查看当前闲时分析任务和历史任务记录。,Tap to view the current idle-time analysis task and historical task records.
确认是否不平衡文库。,Check whether the libraries are base balanced.
文库不平衡,The libraries are not base balanced.
制备DNB失败,A making DNB failure occurs.
Loading异常,A loading DNB error occurs.
如果文库浓度未知，建议使用Qubit Assay Kit和Qubit荧光定量仪定量出文库实际浓度（ng/μL）。,"If the library concentration is unknown, it is recommended that you quantify the ssDNA libraries (ng/μL) by using Qubit Assay Kit and the Qubit fluorometer."
N表示核苷酸平均数目（文库总片段长度，包括接头序列的长度）,"Nrepresents the number of nucleotides (average library fragment length, including the adapter) as determined by fragment size analysis."
输入试剂槽、插件、载片等耗材的ID时，如已确认格式无误，但界面报错。,"A consumable ID error message may appear when the ID of a consumable such as the Sequencing Reagent Cartridge, Washing Cartridge, insert, or flow cell is in an incorrect format."
fmol和ng换算公式如下：,Convert the concentration of the ssDNA libraries from ng/μL to fmol/μL according to the following formula:
如果建库试剂盒说明书有特殊需求，则以建库试剂盒说明书的文库要求为准。,"If there are any special library concentration requirements for the library preparation kit, the requirements of the kit should be followed."
确保各耗材ID内容和格式无误。,Check whether the ID of each consumable is in the correct format.
当App文库和MGI文库pooling测序时，一些具有相似Barcode序列的接头可能导致Barcode拆分错误，因此某些接头的文库应避免pooling在一起测序。,"When performing pooling sequencing of App libraries and MGI libraries, some adapters with similar barcode sequences may cause barcode splitting errors. Therefore, the libraries of certain adapters cannot be pooled together for sequencing."
当单Barcode文库与双Barcode文库混测时，Barcode文件格式参考。,"For details about the format of the barcode file used for sequencing pooled single-barcode and dual-barcode libraries, refer to."
关于冲突的接头，可参考。,"For details about the adapters that may cause barcode splitting errors, refer to."
针对其他试剂的相关操作，按需使用合适的移液器吸头，建议使用推荐的品牌货号。,"For other reagents, it is recommended to use the specified pipette tips according to the actual situation."
务必使用无滤芯阔口吸头混匀DNB，并使用推荐的品牌货号。,Only wire-bore non-filtered pipette tips can be used to mix DNBs.
DNBSEQ-T7+RS 高通量测序试剂套装（T7+ FCL PE100),DNBSEQ-T7+RSS High-throughput Sequencing Reagent Set (T7+ FCL PE100)
根据不同的测序方案，取出相应试剂套装。,Take out the appropriate sequencing reagent set according to the actual sequencing technique.
试剂套装名称,Sequencing reagent set
测序方案,Sequencing technique
PE100测序,PE100 sequencing
其中App DNB制备缓冲液仅适用于App-D测序。,App Make DNB Buffer is applicable only to App-D sequencing.
DNBSEQ-T7+RS 高通量测序试剂套装（T7+ App-D FCL PE150),DNBSEQ-T7+RS High-throughput Sequencing Reagent Set (T7+ App-D FCL PE150)
DNBSEQ-T7+RS 高通量测序试剂套装（T7+ App-D FCL PE100),DNBSEQ-T7+RS High-throughput Sequencing Reagent Set (T7+ App-D FCL PE100)
DNBSEQ-T7+RS 高通量测序试剂套装（T7+ FCL PE150),DNBSEQ-T7+RS High-throughput Sequencing Reagent Set (T7+ FCL PE150)
App-D PE150测序,App-D PE150 sequencing
App-D PE100测序,App-D PE100 sequencing
PE150测序,PE150 sequencing
TE 缓冲液,Low TE Buffer
测序流程图,Sequencing workflow
文库插入片段在推荐范围外，可能影响测序数据产出。,"If the library insert size falls beyond the recommended distribution, the sequencing data output may be affected."
300~500,300 to 500
参考,Refer to
SE/PE测序,SE/PE sequencing
上表中的Barcode和DualBarcode均代表自定义测序界面的参数。,"In the above table, both Barcode and DualBarcode represent parameters in the custom sequencing interface."
参考,Refer to
准备清洗试剂1,Preparing washing reagents 1
试剂,Reagent
按照如下体积配制清洗试剂1，用于自动清洗、常规清洗或维护清洗。,"Prepare the washing reagent 1 according to the table below. The prepared washing reagent 1 can be used for the automatic wash, regular wash, or maintenance wash."
2 ℃~8 ℃储存1个月,1 month at 2 ℃ to 8 ℃
2 ℃~8 ℃储存7天,7 days at 2 ℃ to 8 ℃
准备清洗试剂1,Preparing the washing reagent 1
ssDNA上机,Sequencing ssDNA libraries
DNB上机,Sequencing DNBs
仪器使用前，确保至少准备如下设备：,"Before using the device, prepare the following equipment:"
96孔深孔板,96-well plate centrifuge
涡旋振荡器,Vortex mixer
MGI，,"MGI,"
Thermo Fisher，,"Thermo Fisher,"
丽净,DustFree
Sigma-Aldrich，,Sigma-Aldrich
5%  NaClO,5% NaClO
MDA酶,MDA Enzyme
40 ℃以下,Below 40 ℃ (104 °F)
DNBSEQ-T7+RS 高通量测序试剂套装（T7+ FCL PE100) 货号：940-002669-00,DNBSEQ-T7+RS High-throughput Sequencing Reagent Set (T7+ FCL PE100) Cat. No.: 940-002669-00
规格及数量,Specification&Quantity
引物插件,Primer Insert
DNBSEQ-T7+RS插件试剂盒1 (T7+ FCL PE150),DNBSEQ-T7+RS Insert Kit 1 (T7+ FCL PE150)
货号：940-002674-00,Cat. No.: 940-002674-00
货号：940-002682-00,Cat. No.: 940-002682-00
DNB聚合酶混合液Ⅱ（LC),Make DNB Enzyme Mix II (LC)
DNBSEQ-T7+RS插件试剂盒2 (T7+ App-D FCL PE100),DNBSEQ-T7+RS Insert Kit 2 (T7+ App-D FCL PE100)
货号：940-002690-00,Cat. No.: 940-002690-00
货号：940-002672-00,Cat. No.: 940-002672-00
1个,1 EA
DNBSEQ-T7+RS测序载片（T7+ App-D FCL PE100),DNBSEQ-T7+RS Sequencing Flow Cell (T7+ App-D FCL PE100)
测序载片（T7+RS FCL),Sequencing Flow Cell (T7+RS FCL)
测序插件,Sequencing Insert
货号：940-002818-00,Cat. No.: 940-002818-00
2 ℃~8 ℃,2 °C to 8 °C (59 °F to 86 °F)
0.35 mL/支×1,0.35 mL/tube × 1
例如，PE150测序是按照双端150循环（2×150）执行，最后得到300循环的序列数据。,"One sequencing cycle equates to one base pair of sequence data. For example, a PE150 sequencing run requires sequencing of reads of 150 cycles (2×150), resulting in sequence data of 300 cycles in total."
标签序列测序的10循环需要额外进行计算。,"At the end of the sequencing run, an extra 10 cycles or 20 cycles of barcode reads can be performed to aid in identifying a specific library, if required."
为保证测序质量，完成一链和二链测序后，测序仪会自动多测一个循环用于矫正。,"To ensure sequencing quality, when Read1 and Read2 sequencing is completed, the sequencer will automatically perform one more cycle for correction."
DualBarcode读长,DualBarcode read length
Barcode读长,Barcode read length
DNB高效聚合酶混合液Ⅰ,Make DNB High-efficiency Enzyme Mix I
App DNB制备缓冲液,App Make DNB Buffer
12个月,12 months
200 μL/支×1,200 μL/tube × 1 tube
-25 ℃~-15 ℃,-25 ℃ to -15 ℃ (-13 °F to 5 °F)
-80 ℃~-15 ℃,-80 °C to -15 °C (-112 °F to 5 °F)
测序仪外置的废液桶通过软管与仪器连接。,The external waste container is connected to the device through flexible tubes.
SE/PE测序的App Barcode与Dual Barcode文件说明,Description for App Barcode and DualBarcode file for SE or PE sequencing
SE/PE测序的App Barcode与Dual Barcode文件,App Barcode and DualBarcode file for SE or PE sequencing
容错率,Number of mismatches
如有问题，联系技术支持。,"If you have any questions, contact the technical support."
各边载片平台需独立进行自动清洗或手动清洗。,An automatic wash or a manual wash need to be performed for each flow cell stage independently.
下机后的载片可用作清洗载片。,Sequencing flow cells removed from the device after sequencing can be used as washing flow cells.
按照如下体积配制清洗试剂1，用于自动清洗、常规清洗或维护清洗。,"Prepare the washing reagent 1 according to the table below. The prepared washing reagent 1 can be used for an auto wash, a regular wash, or a maintenance wash."
每次测序完成后系统进行自动清洗。,The system performs an automatic post-sequencing wash after each sequencing run if [Yes] has been selected for [Auto wash] in sequencing parameter setting.
测序完成后系统将执行自动清洗。,The system will perform an automatic post-sequencing wash after the sequencing is completed.
仪器首次进行测序前，需进行清洗。,The device is used for the first time.
以下情况选择维护清洗：,Perform a maintenance wash under the following conditions:
载片出现杂质并排除其他因素后需进行清洗。,When impurities are found on the flow cell and other factors are eliminated.
技术支持检修后，使用前需进行清洗。,After maintenance by the technical support.
Quality proportion distribution 说明,Quality proportion distribution
如有废液，倾倒后用实验室用水冲洗废液桶三遍。,"If any waste liquid remains in the waste container, discard the waste liquid and rinse the waste container three times with the laboratory-grade water."
拉出A边的废液仓抽屉，将空废液桶放入抽屉。,"Slide the drawer of waste container compartment on side A outward, and place the empty waste container into the drawer."
推入抽屉，此时界面上废液仓区域应为绿色。,Slide the drawer inward. The waste container compartment area in the interface turns green.
如废液仓状态为红色，说明废液桶剩余空间不足以支持完成测序，具体处理方法需参考。,"If the waste container compartment area in the interface turns red, it indicates that the remaining capacity of the waste container is insufficient for the sequencing run. For details about how to fix this problem, refer to."
本节所有的图片均为示意图，图片内容可能与实物有差异。,Diagrams in this section are for illustrative purposes only. The actual diagrams may vary.
准备制备插件,Preparing the Make Insert
处理完后，进入下一步。,"After completion, proceed to the next step."
DNB制备反应混合液2,Make DNB reaction mixture 2
将DNB制备反应混合液1或App DNB制备反应混合液1用涡旋振荡器振荡混匀，迷你离心机离心5 s，置于冰上备用。,"Mix the Make DNB reaction mixture 1 or App Make DNB reaction mixture 1 thoroughly by using the vortex mixer, centrifuge it briefly for 5 s by using the mini centrifuge, and place it on ice until use."
取出DNB聚合酶混合液Ⅱ（LC)，短暂离心5 s，置于冰盒上备用。,"Remove Make DNB Enzyme Mix II (LC) from storage, centrifuge it briefly for 5 s, and place it on ice until use."
取用1个1.5 mL离心管，根据下表在冰上配制DNB制备反应混合液2：,"Take out a 1.5 mL centrifuge tube, and prepare Make DNB reaction mixture 2 on ice according to the following table:"
勿将DNB聚合酶混合液Ⅱ（LC)置于室温，勿长时间触碰管壁。,Do not keep Make DNB Enzyme Mix II (LC) at room temperature. Avoid holding the tube for a prolonged time.
总体积（μL）,Total volume (μL)
DNB制备反应混合液1或App DNB制备反应混合液1,Make DNB reaction mixture 1 or App Make DNB reaction mixture 1
建议反复使用10次后，按照医疗废弃物处理标准，处理清洗载片。,It is recommended that you dispose of the washing flow cell after 10 continuous uses according to the medical waste disposal standards.
将下机载片置于常温保存，后续可用作清洗载片。,"Store the used sequencing flow cells at room temperature, which can be used as the washing flow cells in subsequent wash procedures."
登录控制软件，进入主界面。,Log in to the control software to open the main interface.
在弹出的芯驱上放置清洗载片，轻按芯驱门上的，收回芯驱。,"Place the washing flow cell on the pop-out flow cell drive, and gently press on the flow cell drive door to retract the flow cell drive."
关于如何取出下机载片，参考。,"For details about how to remove the flow cells from the device, refer to."
常规清洗,Performing a regular wash
装载维护清洗试剂槽1（右）和维护清洗试剂槽2（左）,Cleaning Cartridge 1 (right) and Cleaning Cartridge 2 (left)
BCS上的result文件夹,result folder on BCS
常规清洗开始，耗时约45分钟。,The regular wash starts and takes approximately 45 min.
取出维护清洗试剂槽1和维护清洗试剂槽2，将试剂槽及插件中残留的液体倒入实验室指定的废液桶中，用纯水清洗试剂槽及插件三次，风干后常温保存，后续可用于清洗。,"Remove the Cleaning Cartridge 1 and Cleaning Cartridge 2, and empty the remaining liquid in the Cartridges and inserts into the designated waste container in the laboratory. Rinse the Cartridges and inserts 3 times with laboratory-grade water, let them air-dry, and store them at room temperature, which can still be used in the subsequent regular or maintenance wash."
取出清洗载片，常温保存。,Remove the washing flow cell and store it at room temperature.
从透明包装袋中取出已解冻的测序插件、加载插件和引物插件，用无尘纸擦净插件表面的冷凝水，上下颠倒混匀插件6次，并轻甩插件3次，尽量将插件内试剂甩至底部。,"Remove the thawed Sequencing Insert, Load Insert, and Primer Insert from the transparent packaging bag, and wipe any water condensation on the surfaces. Invert each insert up and down 6 times to mix the reagents thoroughly, and gently flick the insert 3 times to collect the reagents to the bottom as much as possible."
将试剂槽置于正前方，上下颠倒20次，静置30 s，再次上下颠倒20次，充分混匀试剂。,"Place the cartridge horizontally on the bench, and hold both sides of the cartridge with both hands. Invert the cartridge up and down 20 times, keep it still for 30 s, and then invert the cartridge for another 20 times. Ensure that all the reagents are thoroughly mixed."
从透明包装袋中取出已解冻的测序试剂槽，用无尘纸擦净试剂槽盖板及孔位处的冷凝水。,"Remove the thawed Sequencing Reagent Cartridge from the transparent packaging bag, and wipe any water condensation on the cartridge cover and well surround with a lint-free paper."
喷洒75%酒精于清洗试剂槽的孔位封膜表面，并用无尘纸擦净。,"Spray 75% ethanol on the surface of the cartridge, and clean the seal with a lint-free paper."
清洗试剂1的配制方法见。,"For details about how to prepare the washing reagent 1, refer to."
用洁净的1 mL吸头戳破2号孔表面的封膜。,Pierce well No. 2 by using a 1 mL sterile tip.
清洗试剂1加样示意图,Adding the washing reagent 1
测序试剂槽解冻后在室温状态上下颠倒混匀20次，静置30 s后，再次上下颠倒混匀20次。,"After thawing, invert the cartridge up and down 20 times at room temperature, keep it still for 30 s, invert it up and down for another 20 times to mix the reagents thoroughly, and"
室温下水浴解冻时，切勿拆开试剂槽的透明包装袋，导致槽体污染。,"When thawing the cartridge through water bath at room temperature, do not open the transparent packaging bag. Failure to do so may cause contamination to the cartridge."
测序试剂槽中的部分试剂在2 ℃~8 ℃冰箱难以完全解冻。,Some reagents in the Sequencing Reagent Cartridge may not be fully thawed in the 2℃ to 8℃ refrigerator.
置于2 ℃~8 ℃冰箱暂存备用。,store it in the 2 ℃ to 8 ℃ refrigerator until use.
从插件试剂盒2中取出MDA酶，用迷你离心机短暂离心5秒。,"Remove MDA Enzyme from the Insert Kit 2, and centrifuge it briefly for 5s by using the mini centrifuge."
从插件试剂盒1和2中分别取出测序插件、加载插件和引物插件。,"Take out the Sequencing Insert, Load Insert, and Primer Insert out of the Insert Kits 1 and 2."
室温水浴（20℃~30℃）过夜放置（h）,Water bath at room temperature (20 ℃ to 30 ℃) overnight
DNBSEQ-T7+RS高通量测序试剂盒（T7+ FCL PE150),DNBSEQ-T7+RS High-throughput Sequencing Reagent Kit (T7+ FCL PE150)
推荐使用如下试剂/耗材：,It is recommended that you use the following reagents/consumables:
推荐试剂/耗材清单,User-supplied reagents/consumables
货号：940-002673-00,Cat. No.: 940-002673-00
货号：940-002675-00,Cat. No.: 940-002675-00
规格及数量,Specification & Quantity
PE测序的MGI与App混测Barcode文件说明,Description for MGI and App mixed sequencing Barcode file for PE sequencing
SE测序的MGI与App混测Barcode文件说明,Description for MGI and App mixed sequencing Barcode file for SE sequencing
各序列开头的“AC”碱基为固定补平序列,Two bases “AC” are added to the beginning of each sequence to maintain overall uniformity
如填写参数时自动清洗设置为是，在测序开始前，需将清洗试剂1加入清洗试剂槽。,"IfYesis selected forAuto washwhen you set sequencing parameters, before the sequencing starts, replenish the washing reagent 1 in the Washing Cartridge."
T1-T8末尾的“AT”碱基为App文库的固定补平序列,Two bases "AT" are added to the end of T1 to T8 to maintain overall uniformity
此时勿拆开载片的真空包装袋。,Do not open the vacuum packaging bag at this moment.
Barcode文件的说明和示例如下：,The description and examples of the barcode file are as follows:
Barcode类型,Barcode type
将载片在室温环境下放置30分钟即可使用，但不可超过24小时。,Place the flow cell with the vacuum packaging bag at room temperature for 30 min to 24 h.
用电动移液器将35 mL清洗试剂1加入至2号孔。,Add 35 mL of the washing reagent 1 into well No. 2 by using an electronic pipette.
稀释至0.1 M，准备清洗试剂,Diluting to 0.1 M for preparing the washing reagents
Sigma-Aldrich，货号：P7949,"Sigma-Aldrich, Cat. No.: P7949"
Qubit 3.0 荧光定量仪,Qubit 3.0 Fluorometer
每个cycle各个FOV的信息，包括LoadedDNB，Offset，Signal，Background，RHO，SNR，Q30，BIC，Fit，A-T，G-C，Lag，Runon等。,"Information on each FOV of every cycle, including LoadedDNB, Offset, Signal, Background, RHO, SNR, Q30, BIC, Fit, A-T, G-C, Lag, and Runon."
MLXXXXXXXX_L0X表示载片ID_Lane编号。,MLXXXXXXXXXXX_L0Xrepresents flow cell ID_Lane No.
各序列末尾的“AT”碱基为固定补平序列,Two bases “AT” are added to the end of each sequence to maintain overall uniformity
PE测序的MGI与App混测Barcode与DualBarcode文件说明,Description for MGI and App mixed sequencing Barcode and DualBarcode file for PE sequencing
SE测序的MGI与App混测Barcode与DualBarcode文件说明,Description for MGI and App mixed sequencing Barcode and DualBarcode file for SE sequencing
1和2表示1链和2链。,"“1” and “2” represent the first strand and second strand, respectively."
过滤后，错误率低于0.01%（准确性高于99.99%）的base所占的比率,The percentage of bases with a quality score greater than or equal to 40. A base with a quality score of 40 implies that the chances of this base being called incorrectly are 1 in 10000.
过滤后，错误率低于0.1%（准确性高于99.9%）的base所占的比率,The percentage of bases with a quality score greater than or equal to 30. A base with a quality score of 30 implies that the chances of this base being called incorrectly are 1 in 1000.
拆分结果保存在Sequencetat.txt中。,and the split results are included in the Sequence stat.txtfile.
Lag2(%)：二链测序滞后所占比率,Lag2(%)represents the slope of the Lag curve for the second-strand sequencing.
Lag1(%)：一链测序滞后所占比率,Lag1(%)represents the slope of the Lag curve for the first-strand sequencing.
此数据来自BarcodeStat.txt。,"This indicator is obtained from the BarcodeStat.txtfile,"
拆分率仅统计经过过滤的reads,The Split Rate is counted from the filtered reads only.
Lag/Runon,[Lag/Runon]
仅适用于PE测序，反映二链与一链信号回升的情况,The ratio of the second-strand signal to the first-strand signal of 4 (ACGT) bases. This indicator is applicable only for PE sequencing.
Summary报告中Tab2关键报告参数说明如下：,The following table describes critical parameters for Tab2 in the summary report:
测序仪控制软件版本,The version of control software for the sequencer.
Tab2关键报告参数,Critical parameters for Tab2 in the summary report
测序方案版本,The version of the sequencing recipe script.
测序仪序列号,The serial number of the sequencer.
测序时选择的barcode文件,The barcode file that you have selected for the sequencing.
测序时选择的测序方案,The sequencing recipe that you have selected for the sequencing.
用于拆分barcode的barcode文件名,The name of the barcode file used for barcode split.
DualBarcode读长,The read length for DualBarcode.
Barcode读长,The read length for Barcode.
为排除光学、生化等的影响，估计dye的理想intensity值，即去除lag/runon（生化），crosstalk（光学），bleeding影响的intensity值。,"RHO is the orthogonalized, background subtracted, spot intensity in 4 (ACGT)-space. RHO A is the average RHO A of all DNBs with basecall A."
Runon说明,Runon description
Unfilter Q30说明,Unfiltered Q30 description
Unfilter Q30,Unfiltered Q30
Lag说明,Lag description
对于一个含有m个DNA片段拷贝的DNB，在第i个循环测序时，有n个DNA片段拷贝在i+1循环中反应，Runon定义为n/m。,"For a DNB with m copies of DNA fragments, when sequencing is performed at cycle i, n copies of DNA fragments react at cycle i+1, and the Runon is defined as n/m."
对于一个含有m个DNA片段拷贝的DNB，在第i个循环测序时，有n个DNA片段拷贝在i-1循环中反应，Lag定义为n/m。,"For a given DNB with m copies of DNA fragments, when sequencing is performed at cycle i, n copies of DNA fragments react at cycle i-1, and the Lag is defined as n/m."
Barcode Split Rate说明,Barcode Split Rate description
Barcode Split Rate,Barcode Split Rate
Bases Distribution,Base distribution
测序过程中，控制软件自动进行Basecalling分析并保存原始测序数据用于分析。,"During the sequencing run, the control software automatically performs Basecalling analysis and delivers raw sequencing data outputs for secondary analysis."
Percentage（%）：拆分率大于1%时所有Barcode的占比,Percentage (%): a histogram that shows the percentage of the barcode when the splitting rate is over 1%.
Percentage（%）：根据Q值进行估计的错误率，非真实错误率,Percentage (%): the error rate that is estimated according to the Q value.
Percentage（%）：各个质量分数区间碱基分布情况,Percentage (%): the base distribution for each quality score range.
Percentage（%）：FASTQ统计碱基分布情况,Percentage (%): the base distribution calculated from the FASTQ file.
Percentage（%）：GC碱基含量分布情况,Percentage (%): the GC percentage calculated from the FASTQ file.
Data,[Data]
result文件夹：Z盘data文件夹下,resultfolder: located under thedatafolder on Drive Z
算法软件测序结果文件夹,The sequencing result folder for the algorithm software.
SamplingOutputFq,[SamplingOutputFq]
FASTQ文件及报告文件夹。,The FASTQ file and report folder.
OutputFq,[OutputFq]
图片文件夹,The image folder.
result,[result]
DNBSEQ-T7+RS高通量测序试剂套装,DNBSEQ-T7+RS High-Throughput Sequencing Reagent Set
DNBSEQ-T7+RS高通量测序试剂套装支持ssDNA和DNB两种测序样本，可根据需求选择合适的方案。,DNBSEQ-T7+RS High-Throughput Sequencing Reagent Set supports both ssDNA and DNB sample inputs. Protocols may be chosen based on the application needs.
理论产出数据量（Gb/载片),Theoretical data output (Gb/flow cell)
产品名称,Name
点击测序主界面右上角的>测序方案，进入测序管理界面。,"In the main interface, tap in the upper-right corner, and select Recipe to go to the Sequencing management interface."
根据仪器运行情况，选择合适的方式自定义测序方案：,Select the appropriate method according to the operating status of the sequencer to customize a sequencing recipe:
如需对时空文库进行测序，联系技术支持。,"If you need to sequencing STOmics libraries, contact the technical support."
仪器未进行测序时，操作步骤如下：,"When the sequencer does not execute a sequencing run, perform the following steps:"
PE表示双端测序。,"PE refers to paired-end sequencing, that is, sequencing both ends of a DNA fragment."
对应【创建测序方案】界面【Barcode】的序列,Corresponds to sequence of [Barcode] in the Create recipe interface
对应【创建测序方案】界面【DualBarcode】的序列,Corresponds to sequence of [DualBarcode] in the Create recipe interface
对应【创建测序方案】界面【Barcode】的ID,Corresponds to ID of [Barcode] in the Create recipe interface
对应【创建测序方案】界面【DualBarcode】的ID,Corresponds to ID of [DualBarcode] in the Create recipe interface
对应【创建测序方案】界面【Barcode】与【DualBarcode】的ID,Corresponds to IDs of [Barcode] and [DualBarcode] in the Create Recipe interface
准备一个外部存储设备（如U盘），在根目录新建一个文件夹，名称必须为英文。,"Prepare an external storage device (for example, a USB flash drive), and create a folder in the root directory of the storage device. Ensure that the folder is named in English."
将准备好的barcode.csv文件拷贝到该文件夹下。,Copy the prepared barcode.csvfile to the folder.
在测序主界面，选择A/B/C/D中空闲的一边，点击，完成耗材装载后，点击【下一步】，进入填写参数界面。,"In the main interface, select any idle side from sides A, B, C, and D, tap to go the Load consumables interface, load all required consumables, and tap[Next]to go to the Parameter settings interface."
根据填写完成后，点击保存。,"Fill in related information according to the descriptions in, and tap Save."
根据仪器运行情况，选择合适的方式导入Barocde文件：,Select the appropriate method according to the operating status of the sequencer to import a barcode file:
点击Barcode信息框的，点击上传Barcode文件，选择外部存储设备中的Barcode文件导入至仪器。,"Tap in the Barcode box, select Upload barcode file, select the prepared barcode file from the external storage device in the pop-up window, and tap [Open]. The selected barcode file will be imported into the sequencer."
在测序主界面，选择A/B/C/D中空闲的一边，点击，完成耗材装载后，点击下一步，进入填写参数界面。,"In the main interface, select any idle side from sides A, B, C, and D, tap to go the Load consumables interface, load all required consumables, and tap Next to go to the Parameter settings interface."
勾选列表中所需Barcode文件，点击导入，即可将外部存储设备的Barcode文件导入至仪器。,"Select the desired barcode file from the list, and tapImport. The selected barcode file will be imported into the sequencer from the external storage device."
点击测序主界面右上角的>Barcode，进入测序管理界面。,"In the main interface, tap in the upper-right corner, and select Barcode to go to the Sequencing management interface."
按照Qubit使用说明书，选择ssDNA检测通道，分别放入标准液S1和标准液S2建立标准曲线，曲线生成后把S2当成样品测定1次。,"Quantify the standards and DNB samples according to the Qubit user manual: Select the ssDNA assay type, calibrate the instrument using the standard tubes S1 and S2, and quantify the standard in S2 as a sample after the calibration."
D3（μL）,D3
D2（μL）,D2
D1（μL）,D1
按照Qubit使用说明书，选择ssDNA检测通道，分别放入标准液S1和标准液S2建立标准曲线，曲线生成后把S2当成样品测定1次。此时，样本投入量选择10 μL，单位ng/μL。,"According to the instructions of the Qubit user manual, select the ssDNA assay type, and insert the standard tubes S1 and S2 to calibrate the instrument. Then, set the volume to [10 μL] and the concentration unit to [ng/μL], and quantify the standard in S2 as a sample after the calibration is completed."
混匀Qubit ssDNA Buffer 与 Qubit ssDNA Reagent，在避光管里以199:1的比例混合。,Dilute Qubit ssDNA Buffer and Qubit ssDNA Reagent at a 199:1 ratio in a clean amber plastic microcentrifuge tube.
当测定值在19.9~20 ng/μL时，则认为此次的标准曲线为合格，可以用来检测样品。,The calibration meets the requirement when the concentration of the standard in S2 falls within 19.9 ng/μL to 20 ng/μL.
S2在合格范围内才可使用该标准曲线，否则重新配制标准品。,"The calibration succeeds only when the concentration of the standard in S2 falls within the qualified range; otherwise, new standards should be prepared for the calibration procedure."
放入待测样本管，样品投入量选择2 μL，单位ng/μL，测量并记录测量出的数值。,"Set the volume to [2 μL] and the concentration unit to [ng/μL], insert the DNB sample tubes for quantification, and record the concentration values."
自定义测序方案适用于以下场景：,"This section provides instructions for customizing a recipe, which might be needed in the following situations:"
清洗试剂槽,Washing Cartridge
0 ℃~30 ℃,0 °C to 30 °C (32 °F to 86 °F)
货号：940-002685-00,Cat. No.: 940-002685-00
400 μL/支×1,400 μL/tube × 1 tube
如进行双Barcode测序，DualBarcode引物工作液需加入至P5孔位。,"For dual-barcode sequencing, the customized dualbarcode primer should be added to well P5."
自定义一链测序引物工作液,Customized insert primer 1
自定义DualBarcode引物工作液,Customized dualbarcode primer
自定义Barcode引物工作液,Customized barcode primer
如界面上的试剂仓区域为红色，说明测序试剂槽的状态不符合测序要求，具体处理方法需参考。,"If the reagent compartment area in the interface turns red, it indicates that the Sequencing Reagent Cartridge does not meet the sequencing requirements. Fix this problem according to."
试剂槽或插件的ID由货号（标签上的REF号）和序列号（标签上的SN号）组成，ID的格式为530-XXXXXX-XXXXXXXXXXXXXXXX。,"The IDs of the cartridges and inserts consist of a combination of REF (REF on the label), a hyphen, and SN (SN on the label). To be specific, the IDs are in the format of 530-XXXXXX-XXXXXXXXXXXXXXXX."
按照测序试剂槽上盖的箭头指示方向，将测序试剂槽慢慢向下放入抽屉右侧。,"Hold the middle-left side of the Sequencing Reagent Cartridge with the left hand and the middle-right side with the right hand, and gently place it downward into the right side of the drawer according to the arrow on the top cover."
确保界面上测序试剂槽，清洗试剂槽及各插件ID自动识别成功后，试剂仓区域应为绿色。,"Ensure that the IDs of the Sequencing Reagent Cartridge, Washing Cartridge and all inserts are identified successfully, and the reagent compartment area in the interface turns green."
如载片不慎跌落碎裂，请小心处理，避免划伤。,"If the flow cell accidentally drops to the floor and breaks, handle it with care to prevent personal injury."
推入A边试剂仓抽屉。,Slide the reagent compartment drawer of side A inward.
装载测序试剂槽,Loading the Sequencing Reagent Cartridge
装载清洗试剂槽,Loading the Washing Cartridge
轻按芯驱门上的，芯驱弹出，界面上的芯驱区域显示为蓝色。,Press on the flow cell drive door. The flow cell drive pops out and theFlow cellarea turns blue.
完成后，芯驱区域显示为绿色。,theFlow cellarea turns green.
打开载片包装纸盒，撕开载片真空包装袋，打开塑料包装盒，取出载片。,"Unwrap the flow cell package, tear open the vacuum-sealed packaging bag, open the plastic case, and take out the flow cell."
如为未弹出状态，采用以下任一方式弹出芯驱：,"If the flow cell drive does not pop out, perform either operation described below to pop out the flow cell drive:"
打开包装盒,Unwrapping the flow cell
需登录后才可进行操作。,You can perform sequencing-related operations only after you log in to the control software.
管理员用户,Administrator account
用户类型,Account type
用户名,Username
